HVH_031_0104_0001	亮進賀茶畢心中按納不住嘖嘖稱怪眾向探問元亮曰我
HVH_031_0104_0002	在途中見二差官押張賢親往酆都去我向前阻之差取牌
HVH_031_0104_0003	示我牌上記張賢親所犯罪過一十四條第一條反眼看父
HVH_031_0104_0004	惡語回母二條刻薄手足親疎門人三條暗破閨門私通寡
HVH_031_0104_0005	婦四條圖謀人業欺孤奪寡五條受人束脩不盡心教導誤
HVH_031_0104_0006	人子弟六條妬人技能刁破成事七條改路欄阻埋坎傷足
HVH_031_0104_0007	八條討牛不遂用藥毒牛九條求菓不得用藥殺樹十條砍
HVH_031_0104_0008	柴被阻放火燒山十一條捕風捉影侈談財色十二條捏謗
HVH_031_0104_0009	功過格校編
HVH_031_0104_0010	石音夫啓
HVH_031_0104_0011	百二
HVH_031_0104_0012	醜名使人難洗十三條覆巢破卵挖穴殺傷十四條畜害胎
HVH_031_0104_0013	禾拋撒五穀賢親如此傷害人物所以天地譴報秀芝曰我
HVH_031_0104_0014	害人物人物不見報我我又不害天理與天地何干更來報
HVH_031_0104_0015	我元亮曰你不知天地生人物即如父母生兒女一般天地
HVH_031_0104_0016	之恩春發夏長秋收冬藏即如父母懷胎生養教育婚配天
HVH_031_0104_0017	地有雨露風晴是天地的劬勞即如父母生子女識其啼笑
HVH_031_0104_0018	乃父母之劬勞也你傷人家兒女他父母必然心痛你害天
HVH_031_0104_0019	地的人物天地豈不情慘所以使鬼神譴報你秀芝聽畢仰
