HVH_009_0029_000001	赏花月诗2）不向花前邀月饮。
HVH_009_0029_000002	好花秀麗，月精神。
HVH_009_0029_000003	玩月吟花酒落身時来。
HVH_009_0029_000004	月下封花酒。
HVH_009_0029_000005	花詩倍月影。
HVH_009_0029_000006	花盈脚不尋常。
HVH_009_0029_000007	花月容御镇酪。
HVH_009_0029_000008	花月满巾。
HVH_009_0029_000009	月中还是新花。
HVH_009_0029_000010	人多因酒性花心動。
HVH_009_0029_000011	戒孩休贪酒典花T。
HVH_009_0029_000012	终食花酒便忘家。
HVH_009_0029_000013	自是花莲酒性斜。
HVH_009_0029_000014	酒後看花情不厥。
HVH_009_0029_000015	酒残花瑚黄金尽。
HVH_009_0029_000016	花不留人。
HVH_009_0029_000017	酒不除。
HVH_009_0029_000018	花前的酒興無涯。
HVH_009_0029_000019	禮後立。
HVH_009_0029_000020	尋到普明。
HVH_009_0029_000021	游普明寺诗）周花草野满岩迫碑文副落和烛碧。
HVH_009_0029_000022	法界共同天广大。
HVH_009_0029_000023	伏眼浸凉照夜清。
HVH_009_0029_000024	邦人祸说地关灵收寥古最今何在。
HVH_009_0029_000025	諸伏經有感。
HVH_009_0029_000026	请試得無神勝有盤。
HVH_009_0029_000027	·：
