HVH_008_0046_000001	志業恋金泰，側耳雛鳴瑞太平，寸鐵双捷，国有占雨各花满，碧林，春通莲闹白社會。
HVH_008_0046_000002	初嗣德四年御月中秋日，本府府會员举人。
HVH_008_0046_000003	监生秀才课生会贺夫人性本善，自拘气，贸蔽物款而本狂之善，或不全于厥初，驕邪僻冬不为已，在朝购争器，在市则争利俊，其贵则凉基爆旅差，其富则舞树天理，在人心未嘗减善。
HVH_008_0046_000004	双吾御诸相勸以善。
HVH_008_0046_000005	桥梁寺旅在修治歌楼，見塗浮而看一金，捐视露宿，则言一把菲；全善；不修久矣的幸go望而停西而經南，引挑濂溪中津殿。
HVH_008_0046_000006	碧洞甲乙稠倭，北府雪江，示有樂宴，意多称道。
HVH_008_0046_000007	夏士演秋，余釋休田里，报请御老至医。
HVH_008_0046_000008	中津館東石市月渡，左右烦带大大，路横互甚，中韩蹄辐，不知其千里。
HVH_008_0046_000009	因谓海鄉叁日，诸公前所修楼，如迎风长春桥花花矣。
HVH_008_0046_000010	来有如此勝地，车督去。
HVH_008_0046_000011	予月初三日至，动，二十九日成合题其日中津館有扣余日谷中津美何的取余语音中中也全其善为中，不全去善为母。
HVH_008_0046_000012	中津律也。
HVH_008_0046_000013	知的止课善而容人，推诚向接物示中也。
HVH_008_0046_000014	中所在，即签所在物，举而要康，不知的止迷津馆；答复取以中也陪财不见利，不爭八左以垂世云措，莫不尽其功多量裁诸做有称。
HVH_008_0046_000015	余言善请上帝降来，人具重寻。
HVH_008_0046_000016	自气禀欲世危没。
