HVH_005_0040_000001	'親民一王，而南圳蕃亦甲東潮焉。
HVH_005_0040_000002	e。
HVH_005_0040_000003	帝既滚南于法，表面订和，而里面每修戰满九可渝里意不力为益，不知两国交際，自有直利法。
HVH_005_0040_000004	于是又有第二十七第大法：三：来北圳，取北圳，意夫三徐普许，遂事新于南，總统统使水師官警而按其事而和抵北，即出渝市，未軍民。
HVH_005_0040_000005	法商有徒美者，共清督贸大假道于北湖。
HVH_005_0040_000006	莲。
HVH_005_0040_000007	雲南南官不。
HVH_005_0040_000008	39守军律，俾皆知我法为可敬，下爱三人。
HVH_005_0040_000009	彼南人有相来相安望，惟公惟整，漂。
HVH_005_0040_000010	兹言一。
HVH_005_0040_000011	渝。
HVH_005_0040_000012	法軍士日我军至，當金方民素善良，勤共軍所到處接重用南民，我當何渝。
HVH_005_0040_000013	南人风本差，奉南国政府的命，到河停两国交涉事，女，百姓相安益。
HVH_005_0040_000014	我法竹来要广洞商路，使北折日臻殷盛，市他意也，戈相尋间，河城不守，天一月间，警雨连下，北折里。
HVH_005_0040_000015	仁海。
HVH_005_0040_000016	湯平。
HVH_005_0040_000017	南定清城。
HVH_005_0040_000018	。
HVH_005_0040_000019	是官南官设计毒法人，且欠具廬嫌，号已啓。
HVH_005_0040_000020	干月二十一日，华共黑旗軍戰于河焉。
HVH_005_0040_000021	帝患，遣使往河内柴设和。
HVH_005_0040_000022	又一面，黑海軍攻法县军，大半皆中国太平流寇，一千八百七三，年，十二未，南，又及法平一千八百七十日，年月十五日，前一千八百六十二年六月初五日，已订和约，至此，又增一和约。
HVH_005_0040_000023	法国素有数晓，意冬省，且保南国为独立，國自为主，不干别。
HVH_005_0040_000024	国修内禦外敵海贼，法人皆助，且赠汽船五和同法为北物员工員以供命使。
HVH_005_0040_000025	又举善理财政者为教，顿賦祝，並给教助。
HVH_005_0040_000026	主学堂于顺复，大百尊，小一千枝。
HVH_005_0040_000027	火子兄前次所久赔，又为希举弁使三操習水步诸軍，绘帝世法约。
HVH_005_0040_000028	嗣後南国外交，一遵法创，九，别国交涉，均和所已畫定，或共别國立约，其约词不得本人傅教。
HVH_005_0040_000029	南人乡信教，皆咱自由及耳。
HVH_005_0040_000030	河達于雲南三商路尽行用放不二，依大法的求云和约同。
HVH_005_0040_000031	又久乡遣便求援于情，寻酿事端。
HVH_005_0040_000032	法商梗益，贼秉起，朝廷又袒凡南人附法者，加以大法，于是又有辞矣。
HVH_005_0040_000033	法遂大举兵来侵，且臨兵于情。
HVH_005_0040_000034	e。
HVH_005_0040_000035	一千八百八十二年，法岗统督遣武官恒移表为依，将兵抵河内，後，为黑旗軍所出，兵久帥脯水年都统俱兴海军元帥，眉赠水法並進，速取何内乡附近诸地，及海陽。
HVH_005_0040_000036	廣安。
HVH_005_0040_000037	山西诸省，俱攻取顺安。
HVH_005_0040_000038	海口诸屯栅，自县南国全隸法人幅戦局初闲，命已舊遗记，立养子育公设輔府，辅文解为吏，卸尚書兼商舶事務。
HVH_005_0040_000039	寺室说为古部尚書。
HVH_005_0040_000040	二人輔政朝杨皆在其手。
HVH_005_0040_000041	聰敏有清木，说年鞋昧疾，外国人仇育。
