HVH_024_0080_0001	匾之更問誰低昂萬高揩畧之決顧管斂共筆硯海暗妬月浪輸
HVH_024_0080_0002	其一
HVH_024_0080_0003	醉甲子奈秋胸默灑瞻膽皮待客娥桐描金伴酗終勺遣興罕科共婦月浪浪維有花衝紅粉面捉来争看
HVH_024_0080_0004	綠衣郎狙滑稽府恒飭書香杏林園胚三年纏轓栢双群撥英雄暫屈胸腹紅扁者女筆硯无情人美綠衣
HVH_024_0080_0005	其二
HVH_024_0080_0006	負笈不辭千里遠留香惟是萬年村壠至美制色各醉踰当行樂安旡劈女佐疎慵狂別諧冶色
HVH_024_0080_0007	攬搴桃李逢迎客洗免嬌饒結臭水凭牛郎合插妆典詩三秋一日媿婚者新女冷縫春袂但
HVH_024_0080_0008	晉絳秦
HVH_024_0080_0009	其三
HVH_024_0080_0010	初姻夷璠瓏銅蟬娟碧貝英雄庶制色梓恠唯雅蓏色才梶免攸卮儷侍烟冊疎浪是轄逾少年客伊画
HVH_024_0080_0011	洋閨帘宛娘棟風流剏利杜共侄次殄柔蓬迎富貴油曝耴散項美清獻女枚金不員好人人雅趣源尾
HVH_024_0080_0012	其五
HVH_024_0080_0013	荒澁凱退沫恚檨辣色蝨狔庶濤称母心鄭走胎自否至今古徂不而命食指指金錢浸汀艚
HVH_024_0080_0014	栢惫捻艾掉憂及待腰斛傷互丐雉濤或書課于易綽晏余卻辞浪婦人教子誠难得易子
HVH_024_0080_0015	千今禩是無做问懞怎消柔孤特真汝員言無論流則低伴使册畑
HVH_024_0080_0016	其六
HVH_024_0080_0017	民維有四孝先詳厯世免讓鮮一級平太印豚思糝粉伴筆硯今資頼風流决是挽星子好迹
HVH_024_0080_0018	帝掣計是恩共國福利浪書中自有一鍾累何破碍情農惆人梅浪意而栴聘銅斤粘燭
HVH_024_0080_0019	富凭浮雲叟脞庄色賊劣通鼎性伶傕衣傕朱伶分福巾吊罟才子佳人
HVH_024_0080_0020	是日也寸戔未奩於情中百口已騰水道左毀譽樂毀世情濃淡茫親俱言非是非非磨慮笑設誰
HVH_024_0080_0021	嘗說心何候料得幾人知彼或有言豈能知世味莫述但誥度曉野心因冷方
