HVH_021_0031_0001	○欒樂乗櫆本而覆危獻去柏椁以貶 欒書德在於民甘棠遺愛
HVH_021_0031_0002	魏顆命從其治結草酬恩 簡子失桐宮之誓王生惡栢人之宰
HVH_021_0031_0003	叔飴求貨於衛而淫 芻蕘宣子播譽於魯能殖嘉樹 魏絳斬
HVH_021_0031_0004	栗鉏麑觸槐 遇餓者於翳桑得老人於城杞 如莊子髮
HVH_021_0031_0005	蒲而細夫逢大夫指木以表戶 欒氏之德民有甘棠之愛范氏之亡
HVH_021_0031_0006	民有斬艾之悲 以上植物門
HVH_021_0031_0007	雜組 荀櫟掩耳而走先軫不顧而唾 魏犨胸傷而曲踊荀偃頭瘍而
HVH_021_0031_0008	目出 先軫入狄而无如生魁壘停鄭閉口而死 洩他拔衡
HVH_021_0031_0009	龍岡 藏板
HVH_021_0031_0010	君之手呂錡中楚王之目 賁解張之肘擊簡子之肩
HVH_021_0031_0011	范匄宣執魏舒之手壽餘復士會之足 卻克之足已跛賈季之
HVH_021_0031_0012	貌不颺 趙羅痀胥臣齒 介推割股以食公子咎犯伸臂
HVH_021_0031_0013	以讓平公 原叔天奪之魄荀偃夢墜其首 穆嬴叩首於宣
HVH_021_0031_0014	子韓宣藉手呼子産 卻匄傷矢而流血簡子伏弢而嘔血
HVH_021_0031_0015	師曠為平公之耳而不之聞嬰叔為平公之目而不之見 頭須竊藏
HVH_021_0031_0016	步招御戎 在膏之上肓之下生男為臣女為妾 靈輒舍食以
HVH_021_0031_0017	遺母魏顆嫁婦以從父 藥賔父子各殉其王卻缺夫婦相敬如賓
