HVH_009_0012_000001	韶光淑郁恰佳辰。
HVH_009_0012_000002	花旦重火新歲朔，新春威。
HVH_009_0012_000003	依诗最為今春腾。
HVH_009_0012_000004	昔春自頭幾見首時人。
HVH_009_0012_000005	書言圖意网中樂。
HVH_009_0012_000006	伊日再逢舜世太平民。
HVH_009_0012_000007	太平酒使诗狂為外身。
HVH_009_0012_000008	行年七十四年餘。
HVH_009_0012_000009	春旦依诗）歲始欣见新宇宙，喜得技巾妨首居家贫惟富旨。
HVH_009_0012_000010	诗卡）香花野竹三春好，谁是雄非休说首老狂自天大糖净几鬼明。
HVH_009_0012_000011	一室虚不德。
HVH_009_0012_000012	都門談祖延情舒晓色浓。
HVH_009_0012_000013	春酒致仕依詩故歸鄉。
HVH_009_0012_000014	思已歌。
HVH_009_0012_000015	结远，香风损容般。
HVH_009_0012_000016	1。
HVH_009_0012_000017	自德雅非天下老，家贫教得营生業，安同。
HVH_009_0012_000018	永是地行仙。
HVH_009_0012_000019	更恐见孫未必赞。
HVH_009_0012_000020	+。
