HVH_015_0007_0001	??行龍穴法書
HVH_015_0007_0002	承宣使 順安府 ???
HVH_015_0007_0003	○古陽基地龍貴心奇脉治六气结龍池上龍势宜直盖田心直褵势田渡取其肥
HVH_015_0007_0004	下龍势田心直直帰田取其直妙信目依此百姓家?富贵多男女有壽女土官地占
HVH_015_0007_0005	家族姓福禄永綏病虚灾難衰亦小之
HVH_015_0007_0006	○古道吏形势要帘帘意来意山烏時温沛徳罷画凶逆而不平虚高晋長
HVH_015_0007_0007	中冠是徳室興的大貴富贵哉得其房貌能多土官居多徳仕中有山
HVH_015_0007_0008	○茹杯亭籜器山形直山秀不空少香不衣家山会西要我缠身内堂若荒如紫朝
HVH_015_0007_0009	墳有此者必有肩后区陰甲形息此生将軍後嫌此主佳?玉人
HVH_015_0007_0010	○九身快顺地势止形界石依山灶石依但江西脉交流男势并角帝甲官治主貴
HVH_015_0007_0011	安當順山偉势通分家堂碓中之一犯之中可黄?非名虚空出喂灾但嫌後分不
HVH_015_0007_0012	向前江仕中迫立雅保帝昌
HVH_015_0007_0013	○右共止躰出在大血珎何在播限砂在缠后田而登意接而循脉生角穴在石边此
HVH_015_0007_0014	居吉地出英贤此嫌石通去后废金
HVH_015_0007_0015	○如林雲楊脉散气强散竜蠕绕鳳皇采翔曲牽植樟作官軒昂五山向峰局砂朝江砂
HVH_015_0007_0016	心下卓居不带出微相位列侯玉完有真假仔佃頂詳
HVH_015_0007_0017	○小花地形容可爱龍虎抱水聚山弯後之性豊前未益端左右相向为相寛
HVH_015_0007_0018	穴位中假气脱花額乾坤孕冠秀生其间大貴貴富公候位安
HVH_015_0007_0019	○嘉林大尊穴脈玄武竜行馬弥脉陰徐牽龍但不但布回龍缠堂中气徐
HVH_015_0007_0020	案由珠联金龍缠後玉女昇局金星同性土阜扶局代代新相富贵兼全
