HVH_001_0040_000001	妻淫脉歌家人一片心闲前散乱伏而沉。
HVH_001_0040_000002	0。
HVH_001_0040_000003	妻孕脉肾来三息，忽然況一那。
HVH_001_0040_000004	正为月尺脉效。
HVH_001_0040_000005	胎期追迢亦可知。
HVH_001_0040_000006	肺沉微女子心洪大，男内子必然依胎子。
HVH_001_0040_000007	0。
HVH_001_0040_000008	胎孕脉子孫脉寸部之中满指弦。
HVH_001_0040_000009	双男双浮大女双寸微，一来隨一止。
HVH_001_0040_000010	開中静動推兒孫逢吉世相传。
HVH_001_0040_000011	若沉而紧，运而滞。
HVH_001_0040_000012	兄弟怡怡友爱心。
HVH_001_0040_000013	子息難招，病且入部浮洪身不胜。
HVH_001_0040_000014	寸中沉细祸弥深。
HVH_001_0040_000015	天沉而滑决登科洪炫寸上富貴，尺滞而微負螟蛉。
HVH_001_0040_000016	洪滑。
HVH_001_0040_000017	开中子必多。
HVH_001_0040_000018	女貴脉寸乱难招进有克脾缓貞勤範宜爾奉公站。
HVH_001_0040_000019	开沉查火紫必形女贱脉心急多淘。
HVH_001_0040_000020	肾洪滑多子，肝清炫旺夫肺。
HVH_001_0040_000021	大姑总心。
HVH_001_0040_000022	心沉微。
HVH_001_0040_000023	夫害尺，细韵孤衾。
