HVH_005_0001_000001	君代世次。
HVH_005_0001_000002	一记阮朝南浙学好扬词。
HVH_005_0001_000003	探書上记安南十五世纪农史，如俱记大法車。
HVH_005_0001_000004	一记实城连际，抓探言阳中西安，你清平妖说呢。
HVH_005_0001_000005	紫書二一一点城央记探南国。
HVH_005_0001_000006	2。
HVH_005_0001_000007	泰东敬古場集Q安南初学史界卷VIo00n0ANHL94E80第一第土地人民位置别北为城，地西常中。
HVH_005_0001_000008	下流世支接的西尺内，又分为上游中。
HVH_005_0001_000009	中为中，以地南国揭封汽海一居洋。
HVH_005_0001_000010	大法地三，東边内三形万状，中圳是一横南地县两。
HVH_005_0001_000011	其此特举其崖界，年洋改，预看东洋地奥新之水，利耕顺便，年夏汛岗风起，這二江水升涨倍常，間有積至十西尺上下。
HVH_005_0001_000012	。
HVH_005_0001_000013	三折林草木葱濕，热氣所江。
HVH_005_0001_000014	河其最大者，公江的，由南。
HVH_005_0001_000015	西藏等處登源上流，均县雕循至南，北折中州界，又分为请小江居民酒黑国也。
HVH_005_0001_000016	但既热而利，植物，不利诊人生。
HVH_005_0001_000017	春夏交寒，热辰所由而發。
HVH_005_0001_000018	0。
HVH_005_0001_000019	国民特黄族三部落，最初人衣山多生，乃风潮澎一，珥河中流，再九江中流，繁漫成堂。
HVH_005_0001_000020	又越尚大，但富人種，傳播上代，必有他稣。
HVH_005_0001_000021	融合圆頂方趾。
HVH_005_0001_000022	同化，天演三師。
HVH_005_0001_000023	今上游大有子遺昼，古越人青属也。
HVH_005_0001_000024	他如人城名人名在番桑海鸿方国四年，蓝永为大同世界纪念越史所由作也。
HVH_005_0001_000025	高蛮人则又為一。
HVH_005_0001_000026	。
HVH_005_0001_000027	自民族进。
HVH_005_0001_000028	化，目的全注射南方，又屡西南北诸鄰国大起，御实就献，则明愈眼不知O。
HVH_005_0001_000029	第二篇鸿庵氏之出现文蜀陽王开香百卵五十子，海五十子，帰山種稣，均涉诞，次定越史嗣御批"曾其荒無替矣。
HVH_005_0001_000030	。
HVH_005_0001_000031	。
HVH_005_0001_000032	鸿庵氏，越南第一首也。
HVH_005_0001_000033	史载居水府，俗尚文身世夫国号赤鬼雄生，尋改文郎都峯，東变南海，西抵巴蜀，南接胡孫，北至洞庭，分為十五部。
HVH_005_0001_000034	但目久地各铁洋，嗣知。
HVH_005_0001_000035	御批：且云"安南国界，越史久已失傳，無徒考。
HVH_005_0001_000036	迄今論疆界者，或以為但台有地所全境中三區耳，则称建都州為。
HVH_005_0001_000037	據【德外纪载，自降生前二千八百七十九年，至二百五十人年间，事属傳，益當辰代，日体未先，学界未昌，一史街代也。
HVH_005_0001_000038	其後史臣意進述越南立国，最专与以傳之，更创耳。
HVH_005_0001_000039	。
HVH_005_0001_000040	東英縣世傳雄王季世有女，谓很蜀王请求，将不当秦帝中国X-秦三十三年享）.
