HVH_004_0073_000001	常恶嗣孫奪居崇公之位。
HVH_004_0073_000002	由是嗣孙不為七公所喜，欲众又間皇嗣孫人品何如？
HVH_004_0073_000003	公主未脫婦人，常自以兄親於姪。
HVH_004_0073_000004	登極之禮，朝相顧惧。
HVH_004_0073_000005	乾壽諸皇子有一人正色言日"嗣孙不立，天下必乱，黎氏必亡，咎在公主，公主误社大。
HVH_004_0073_000006	735，計当去其属籍，任公主帰山，安享富貴？
HVH_004_0073_000007	吾族内不之此一人。
HVH_004_0073_000008	公主惧，歸，請於公，上公許之，百官乃握扶嗣孫，即'皇孙立後，皇族或請來治丧，即身諸褒次。
HVH_004_0073_000009	嗣孫不喻此意位。
HVH_004_0073_000010	是日，上公在府，聞先帝崩，傳侍術諸单整國薄轎待，不敢煩請，但飲後節大或告於上公。
HVH_004_0073_000011	上公怒其不請，以為嗣孙見外，使人追緩登極之礼，欲有所别立，至則登下之帝，非族所得私也。
HVH_004_0073_000012	我追慕先帝，昨日避嫌，不敢八见極礼訖，朝官以成事告上公，急召公主四日"先帝者，天如何？
HVH_004_0073_000013	外我而不迎？
HVH_004_0073_000014	如無我成何？
HVH_004_0073_000015	朝廷成何？
HVH_004_0073_000016	政事，安敢如是？
HVH_004_0073_000017	今日欲未欲特一靓王颜，以致翁婿之情，或突来非体，族其界，我试葉而去族，料理如何？
HVH_004_0073_000018	乃传水步諸单装，以翌立日，旋帰国，公主號泣税留父，密差人喻意於嗣皇嗣六。
