HVH_001_0017_000001	守於边外一重案或客地盘提脉旺子午耶。
HVH_001_0017_000002	酉古令安排，後须向前向後，众侯酒立向挺案腥，诸群偏倚麻局吏差案山市朱证分金吏拟法尼台进向符详分秘学外盘捉意自脉於无来，食光朱别诸差市，或乾或兼养色，或壬或丙辰秘内盘边保侯学朱通分金立自企劳提童活朱别阳配偶合和陰来陽受法穴。
HVH_001_0017_000003	辰氣脉未皮，氣皮接脉，脉皮接棺，横回顺通朱詳和法平辰台双离企儿市台正兰沛立点穴乙庄差法尼街黏雅浪道法冉华代朱别尔侯酒仕站秘道法尼分金。
HVH_001_0017_000004	天地造山，水財玄黄，逢就置水，萬派千流，形芳相依。
HVH_001_0017_000005	論聚會諸宜春縣左奥社左奥生書卦山本居西北西北，水根聚之于天，天本動見静可愛。
HVH_001_0017_000006	山自子至酉，拱應皆钟。
HVH_001_0017_000007	夫傾補要高峯。
HVH_001_0017_000008	水当逸，東南東南欲深。
HVH_001_0017_000009	大山本之于地，地本静，動处可求。
HVH_001_0017_000010	天高水自午至来，朝獲正氣，缺加地泰。
HVH_001_0017_000011	1山應现，四辰清秀，人才清。
HVH_001_0017_000012	清挺生水朝污，八節澄清豪森森盛，大形如
