HVH_001_0005_000001	+庄案山水渚交合前堂授异水去风吹固形穴。
HVH_001_0005_000002	乙辰非直顺蛋格真童横回顺通貼部書圖#固上分席。
HVH_001_0005_000003	庄合元辰让梦回麻直水效接诸经。
HVH_001_0005_000004	玄武二易拱空。
HVH_001_0005_000005	5横西辰仍半虎，砍作亲朝穴中来童万里千重面前吏。
HVH_001_0005_000006	凭星举朝術微让皮交堂水改術右边護砂，長抱相連，托砂起顶高山雄旅的诺遇。
HVH_001_0005_000007	前堂异白虎街源，燥桥發源水到洋又放边。
HVH_001_0005_000008	左臂寔家直童落山高起，重重长界，横右投中書圖，生得尋童法文色排更群穴意脱朱詳，五星变化非常。
HVH_001_0005_000009	干形萬妝，武文謨才兼将相侯敢当二代拱特次辰長详火辰穴保埃详形和劍長岳刀殺氣瘟。
HVH_001_0005_000010	庄差。
HVH_001_0005_000011	火星手固富，开水能制火極佳。
HVH_001_0005_000012	台果顽金剪火强加法意埃和城得床固眼仙鄧穴千年久長穴辰發侯王双渚認詳辰拱消食木星脉直麻長国枝固台木常固平。
HVH_001_0005_000013	4心枝辰庄差若朋瘦小坤亲貼未别矯埃群常求直木之剥，心無单用皮棋生得清秀才贤，發仍文学科權功。
