HVH_001_0018_000001	f爸形和風輝兆騰，世占三魁應如虎。
HVH_001_0018_000002	應和熊旗布名超寨尘。
HVH_001_0018_000003	,'高和天柱，毒比喬彭兵。
HVH_001_0018_000004	水聚和川禄添酉，位高蔽恶氣，竜脑持寶印，四方王帛森庭住虎额，带金刀，一拳功收達塞，乾含情而不起一毫耶。
HVH_001_0018_000005	方水聚乘光明，竜颜近而名芳四海。
HVH_001_0018_000006	此其貴地当微，又有殺方，宜戒乾。
HVH_001_0018_000007	山深水，年，求自定，不期位。
HVH_001_0018_000008	水山才出，不能自再。
HVH_001_0018_000009	那山應近典水选，功立不成。
HVH_001_0018_000010	自水山不宿，祸深多敗。
HVH_001_0018_000011	离山高坎水者不可云点坤空铁长言康，勿堪暖键。
HVH_001_0018_000012	諸方同流派，法立惟道服可觉。
HVH_001_0018_000013	經释本智，心必待知正理必無要事。
HVH_001_0018_000014	卦善推累，星拱五行，識高深。
HVH_001_0018_000015	遠近盛衰，明山水根源，天地开法言萬端，水定差一酒，人爵修天復爵。
HVH_001_0018_000016	加讀經言惟善根世相出家傳相拜。
HVH_001_0018_000017	三辰分五行，賦定三辰，南辨五行，五行相生生合應地灵钟氣，辰三共照照太極分初重，两侵而分四象，洪荒自判輝煌，天理光明。
HVH_001_0018_000018	天以三辰分五行而開地有八卦，立方而别群星。
HVH_001_0018_000019	土星居乾，兑土生全，贤人盖世。
HVH_001_0018_000020	水星居震，兵水養A木，君子顕荣，离木饮金生得旺，多生财帛，艮坤土得
